name,conExp,conExp_err,regExp,regExp_err
c61r18,-1.650383245,0.151665253,2.74314424,0.364806759
c61r18.10L01,-4.87873324,0.214274879,1.083551025,0.230167562
c61r18.10L02,0.990743842,0.394305178,2.826504059,0.199035906
c61r18.10L03,-2.475311767,0.392019567,2.446751917,0.336049469
c61r18.10L04,-2.213298323,0.342709564,2.695240248,0.189052965
c61r18.10L05,-2.012171899,0.34433624,2.605421008,0.370770011
c61r18.10L06,-4.730634831,0.138366659,1.399352143,0.22496655
c61r18.10L07,-1.777097446,0.36583081,2.750740645,0.347353815
c61r18.10L08,-2.789010968,0.128042135,2.356497836,0.212455993
c61r18.10L09,-1.018531498,0.346466447,2.738000241,0.232823494
c61r18.10L10,-6.476508492,0.517599346,-1.709702657,0.147515355
c61r18.10L11,-4.933751075,0.420831937,-2.653644862,0.225371467
c61r18.10L12,-3.128087694,0.088544061,2.268921018,0.158458928
c61r18.10L13,-5.8005285,0.212905194,-1.586918939,0.207748943
c61r18.10L14,-2.127413917,0.304264534,2.72626847,0.258288574
c61r18.10L15,,1.572577095,,0.659574479
c61r18.10L16,-6.301933019,0.302947175,-1.213047268,0.210118636
c61r18.10L17,,0.547406552,,0.519077511
c61r18.10L19,-3.08846086,0.834319834,2.327916697,0.317962343
c61r18.10L20,-3.265309475,0.110819001,2.244694288,0.207521913
c61r18.10L21,-1.287607318,0.350343731,2.500118038,0.301825446
c61r18.10L22,-2.660611962,0.78935222,2.514500682,0.258643562
c61r18.10L23,-5.916319053,0.280120105,-2.469786024,0.162584723
c61r18.10L24,0.638290213,0.230742911,2.283510196,0.246272838
c61r18.35L02,,0.278696381,,0.311876648
c61r18.35L03,-5.797500127,0.972756493,-1.54596887,0.174763909
c61r18.35L04,-5.169003715,0.799642403,0.437205653,0.210136113
c61r18.35L05,-5.15932575,0.465589774,-1.137559252,0.144573599
c61r18.35L06,-3.021415515,0.184572353,2.282215756,0.428221556
c61r18.35L07,-0.921842114,0.332213665,2.829158324,0.492854246
c61r18.35L08,-4.710373649,0.834653556,1.0158941,0.204079813
c61r18.35L09,-5.057890961,0.369279523,-1.312318535,0.12449772
c61r18.35L10,-5.486245527,0.529402333,-2.198204768,0.10081638
c61r18.35L11,-5.296916872,0.48845607,-0.414853257,0.162021071
c61r18.35L12,-5.383687676,0.698700366,-1.562305089,0.329585087
c61r18.35L13,-5.11794016,0.36940204,-0.836835312,0.164136369
c61r18.35L14,-4.492648211,0.209314619,1.162582607,0.424649259
c61r18.35L15,-4.652255187,0.266356015,1.122697229,0.288759672
c61r18.35L16,-0.491988188,0.245739798,2.699762549,0.47753242
c61r18.35L17,-5.397662657,0.564431809,-2.244133542,0.179806019
c61r18.35L18,-3.401047402,0.365604285,2.140934923,0.384090416
c61r18.35L19,-3.856881877,0.355201006,1.908394795,0.436204447
c61r18.35L20,-4.944182935,0.593024458,-1.422504045,0.212374709
c61r18.35L21,-4.771283599,0.35122172,0.540724893,0.19647936
c61r18.35L22,-1.715377852,0.199663037,2.734694087,0.332894525
c61r18.35L23,-4.716327839,0.6032988,-1.614879034,0.230546424
c61r18.35L24,-1.107524886,0.346326603,2.743039698,0.266359768
