name,conExp,conExp_err,regExp,regExp_err
c71r18.10L01,-1.176687896,0.297095354,2.104297636,0.279519679
c71r18.10L02,,0.136481662,,0.177165318
c71r18.10L03,0.533402573,0.215618139,2.347573081,0.328492044
c71r18.10L04,-5.639047705,0.373580459,-4.515713393,1.41139503
c71r18.10L05,-2.262907495,0.128558607,1.741961259,0.276959284
c71r18.10L06,-2.230729257,0.060900191,1.830368097,0.224217761
c71r18.10L07,-6.021306154,1.139486018,-4.06268595,0.520226421
c71r18.10L09,-5.41359691,0.808247591,-3.133318493,1.371070064
c71r18.10L10,-2.295874872,0.32062946,1.792115096,0.230335081
c71r18.10L11,1.691767667,0.2950535,2.773999495,0.342784722
c71r18.10L12,-3.753681221,0.182567259,0.52337188,0.153198831
c71r18.10L13,-2.376129206,0.18185962,1.784644534,0.242242602
c71r18.10L14,-1.684571628,0.266133161,2.036119726,0.17498771
c71r18.10L15,-2.04190845,0.252554928,1.996150626,0.194607374
c71r18.10L17,-3.821010104,0.185046921,0.649069032,0.171193371
c71r18.10L19,1.05062885,0.145617262,2.413643198,0.555553135
c71r18.10L20,-4.101790376,0.14197404,0.474459004,0.14084213
c71r18.10L21,-4.748940441,0.254608269,-0.358751765,0.204293358
c71r18.10L23,-4.013432133,0.242336714,0.424941219,0.133150315
c71r18.10L24,-2.07011616,0.275775205,2.172545487,0.190104379
c71r18.35L04,-2.18080329,0.292339923,1.946847842,0.173205075
c71r18.35L06,-3.972321432,0.305983791,-0.370204752,0.288404152
c71r18.35L07,-3.653235608,0.408029395,0.837888902,0.195565388
c71r18.35L09,-2.446556908,0.215488568,1.380299908,0.190341632
c71r18.35L10,-1.934066831,0.277861823,1.992002049,0.250869331
c71r18.35L11,-4.722707772,0.303384893,-0.629286607,0.156445887
c71r18.35L12,-5.358590762,0.462391125,-2.953026978,0.402850974
c71r18.35L13,-5.433919206,0.509689721,-3.080922329,0.744365893
c71r18.35L14,-4.228146322,0.196564506,-0.068455871,0.168665459
c71r18.35L15,-1.804061396,0.317967196,2.140194338,0.200199621
c71r18.35L16,-1.583244104,0.321916497,2.186525051,0.303442532
c71r18.35L18,1.835975619,0.226298272,2.870089966,0.392490418
c71r18.35L19,-2.629252577,0.289716658,1.724289664,0.188547519
c71r18.35L20,-2.219627685,0.373151496,1.76454694,0.161540506
c71r18.35L21,-2.013597034,0.254920339,2.070031568,0.21719203
c71r18.35L23,-5.180696892,0.983822431,-2.766889626,0.355752298
