Minus35,Minus10,Basal,Induced,Basal_std,Induced_std
a,A,1.3915624830000002,1.3013684239999999,0.11055132039695013,0.02970204460218471
a,B,1.2969617806666667,2.7754982150000003,0.127119588139782,0.00584574629370178
a,C,1.3970307333333334,2.7466508563333334,0.03724433826571115,0.005507740710058344
a,D,1.6053109333333333,2.8772564683333335,0.055740236583974465,0.01725209134716394
a,E,1.6760575073333335,3.202856415,0.04364147518067285,0.028768034890782047
a,F,1.5821948243333335,3.640730871666667,0.05946259950907478,0.014291209167567877
a,G,1.8441155823333333,4.140012955666666,0.03155926428017983,0.0213275332180955
a,H,2.448596350666667,4.804068447333333,0.01726135874804008,0.024262214419759093
b,A,1.3300257863333333,1.2458841106666667,0.04131454276807958,0.057921460413897737
b,B,1.2849199293333333,3.1739112423333338,0.0718144898559182,0.013906689946285715
b,C,1.4486873096666668,3.1393553719999994,0.035969949551221576,0.018660533177419353
b,D,1.65938284,3.3150301113333334,0.02056838067944361,0.021194657626374118
b,E,1.7915749373333334,3.696499747666667,0.018308542185252925,0.010148593222220672
b,F,1.8582703763333335,4.187831611666667,0.0582985781244404,0.021539497904154575
b,G,2.2948574653333336,4.601780802666666,0.01620806393388994,0.011935854574380142
b,H,2.9656546093333334,4.924981988333333,0.01912865837250377,0.010605990895666722
c,A,0.8696710266666666,1.3133978506666668,0.21916442679297968,0.030632387917289738
c,B,1.7982596306666665,4.027704144333334,0.013012408854796074,0.026244615078202277
c,C,1.7837985036666666,4.007857824333333,0.03597384436447984,0.02272012114987472
c,D,1.9610515103333332,4.187243640999999,0.013185352087052153,0.01194015157655557
c,E,2.1727187413333335,4.484853389666667,0.007171293307730881,0.020076238896090125
c,F,2.417143384333333,4.772719455,0.032262948361267696,0.017863868664541472
c,G,2.9085074703333333,4.917525035333333,0.010463394391069419,0.02592492050867748
c,H,3.5471047319999998,4.974149468,0.007211477800466966,0.00802919718045696
d,A,1.2072370516666666,1.9112639839999999,0.007963200916906606,0.04881083204854136
d,B,2.5513710156666667,4.701057192666667,0.03345815997213704,0.010341953322398878
d,C,2.520772727,4.697811997666666,0.024647572476035967,0.011224128771733897
d,D,2.654697280666667,4.854320230333333,0.015703637234957407,0.02893071615172169
d,E,2.8728886756666667,4.891260858333333,0.008527713003678756,0.005569433674097605
d,F,3.0546630093333333,4.9221423920000005,0.03125419969430946,0.014895391211408742
d,G,3.584416217333333,5.029217046666667,0.012146615353313383,0.020605938023083793
d,H,4.154965871666667,4.990713988333333,0.012974595400121419,0.011553817602157753
e,A,0.8982620446666667,1.6500294383333334,0.35268484504130737,0.02802245717491947
e,B,2.2969952863333334,4.537570178,0.0014722391574889821,0.018139738932235625
e,C,2.290554562,4.572681729666667,0.03500824374010256,0.021080122204437383
e,D,2.412107740333333,4.709345589000001,0.004703120783202966,0.011082969335391782
e,E,2.700004838,4.807786377499999,0.011225274896502215,0.01645553374622553
e,F,2.9172062386666666,4.906323852333333,0.008026295764901782,0.03222430656346504
e,G,3.429743109,5.0014143110000004,0.013830026271718674,0.013951604766219669
e,H,4.004489785,4.998755823333333,0.013317681176644214,0.01993845185871992
f,A,1.346745986666667,2.2284719136666666,0.08236404366098392,0.028633802811189858
f,B,3.7573670693333336,4.700033158,0.028607292729631466,0.006976257873276196
f,C,3.650273304666667,4.704244681,0.012318719106876156,0.0063306599364525975
f,D,3.7892116226666666,4.854024523666666,0.015713924339907457,0.006001090836162005
f,E,3.9893410756666667,4.87782426,0.012694256508391706,0.012753498078235137
f,F,4.150627789666667,4.884119800333333,0.011955468646063862,0.0321221358485821
f,G,4.715553196999999,4.995881478333334,0.00472968168201055,0.008455136117525183
f,H,4.926953293666666,5.049509585,0.004814441773947804,0.014925051748330309
